 type ask, timestamp 1576858223.9191146, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858223.9191146, ticker MSFT, size 200, price 157.04,
 type last, timestamp 1576858223.9678922, ticker MSFT, size 100, price 157.055,
 type ask, timestamp 1576858224.0375102, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858224.0375102, ticker MSFT, size 100, price 157.05,
 type ask, timestamp 1576858224.1337748, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858224.1337748, ticker MSFT, size 200, price 157.04,
 type ask, timestamp 1576858224.2300265, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858224.2300265, ticker MSFT, size 100, price 157.05,
 type ask, timestamp 1576858224.439458, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858224.439458, ticker MSFT, size 200, price 157.04,
 type ask, timestamp 1576858224.5648584, ticker MSFT, size 100, price 157.07,
 type bid, timestamp 1576858224.5648584, ticker MSFT, size 200, price 157.04,
 type last, timestamp 1576858224.8791454, ticker MSFT, size 200, price 157.065,
 type ask, timestamp 1576858225.1544616, ticker MSFT, size 100, price 157.06,
 type bid, timestamp 1576858225.1544616, ticker MSFT, size 200, price 157.04,
 type ask, timestamp 1576858225.154684, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858225.154684, ticker MSFT, size 200, price 157.04,
 type ask, timestamp 1576858225.1552792, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858225.1552792, ticker MSFT, size 100, price 157.05,
 type ask, timestamp 1576858226.4094229, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858226.4094229, ticker MSFT, size 200, price 157.04,
 type ask, timestamp 1576858226.4339132, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858226.4339132, ticker MSFT, size 100, price 157.05,
 type ask, timestamp 1576858226.43415, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858226.43415, ticker MSFT, size 200, price 157.04,
 type ask, timestamp 1576858226.4347377, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858226.4347377, ticker MSFT, size 100, price 157.05,
 type ask, timestamp 1576858226.4847322, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858226.4847322, ticker MSFT, size 200, price 157.04,
 type ask, timestamp 1576858226.540121, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858226.540121, ticker MSFT, size 100, price 157.06,
 type ask, timestamp 1576858228.5156736, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858228.5156736, ticker MSFT, size 200, price 157.04,
 type ask, timestamp 1576858228.526939, ticker MSFT, size 100, price 157.43,
 type bid, timestamp 1576858228.526939, ticker MSFT, size 100, price 157.06,
 type ask, timestamp 1576858230.4577081, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858230.4577081, ticker MSFT, size 100, price 157.06,
 type ask, timestamp 1576858230.6439016, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858230.6439016, ticker MSFT, size 200, price 157.06,
 type ask, timestamp 1576858230.6719785, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858230.6719785, ticker MSFT, size 100, price 157.06,
 type ask, timestamp 1576858231.5532813, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858231.5532813, ticker MSFT, size 200, price 157.06,
 type ask, timestamp 1576858232.2351854, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858232.2351854, ticker MSFT, size 100, price 157.06,
 type ask, timestamp 1576858233.1351547, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858233.1351547, ticker MSFT, size 200, price 157.06,
 type ask, timestamp 1576858233.450995, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858233.450995, ticker MSFT, size 100, price 157.06,
 type ask, timestamp 1576858233.631897, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858233.631897, ticker MSFT, size 200, price 157.06,
 type ask, timestamp 1576858233.8590088, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858233.8590088, ticker MSFT, size 100, price 157.06,
 type ask, timestamp 1576858233.866516, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858233.866516, ticker MSFT, size 200, price 157.06,
 type ask, timestamp 1576858234.0684478, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858234.0684478, ticker MSFT, size 300, price 157.06,
 type ask, timestamp 1576858235.9604757, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858235.9604757, ticker MSFT, size 200, price 157.06,
 type ask, timestamp 1576858236.2547483, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858236.2547483, ticker MSFT, size 300, price 157.06,
 type ask, timestamp 1576858236.5837877, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858236.5837877, ticker MSFT, size 200, price 157.06,
 type ask, timestamp 1576858236.6064072, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858236.6064072, ticker MSFT, size 300, price 157.06,
 type last, timestamp 1576858236.7228534, ticker GE, size 100, price 11.025,
 type last, timestamp 1576858236.7228534, ticker GE, size 100, price 11.025,
 type ask, timestamp 1576858236.86473, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858236.86473, ticker MSFT, size 200, price 157.06,
 type ask, timestamp 1576858236.865591, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858236.865591, ticker MSFT, size 100, price 157.06,
 type ask, timestamp 1576858236.8675392, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858236.8675392, ticker MSFT, size 200, price 157.06,
 type last, timestamp 1576858236.8756218, ticker MSFT, size 100, price 157.07,
 type ask, timestamp 1576858236.8757157, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858236.8757157, ticker MSFT, size 100, price 157.06,
 type ask, timestamp 1576858236.8757424, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858236.8757424, ticker MSFT, size 100, price 157.07,
 type ask, timestamp 1576858236.876359, ticker MSFT, size 100, price 157.08,
 type bid, timestamp 1576858236.876359, ticker MSFT, size 100, price 157.06,
